Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ChainDepth,DatabaseSize,Mean,Error,StdDev,Gen0,Gen1,Allocated
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',NativeAOT,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,ILCompiler 10.0.5,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,5,?,67.35 μs,0.380 μs,0.355 μs,8.1787,0.2441,133.62 KB
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',ShortRun,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,1,Default,Default,Default,Default,Default,Default,16,3,5,?,68.67 μs,6.217 μs,0.341 μs,8.0566,0.2441,133.14 KB
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',NativeAOT,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,ILCompiler 10.0.5,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10,?,179.16 μs,0.655 μs,0.581 μs,22.4609,1.2207,370.29 KB
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',ShortRun,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,1,Default,Default,Default,Default,Default,Default,16,3,10,?,187.67 μs,36.825 μs,2.018 μs,22.4609,1.4648,369.41 KB
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',NativeAOT,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,ILCompiler 10.0.5,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,20,?,534.21 μs,10.104 μs,9.451 μs,70.3125,7.8125,1151.36 KB
AncestorBenchmarks,'ancestor - find all descendants (non-indexed)',ShortRun,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,1,Default,Default,Default,Default,Default,Default,16,3,20,?,555.32 μs,124.550 μs,6.827 μs,70.3125,8.7891,1149.65 KB
SolverBenchmarks,'solve - enumerate all from fan-out DB (non-indexed)',NativeAOT,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,ILCompiler 10.0.5,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,50,34.89 μs,0.400 μs,0.374 μs,5.4932,0.2441,90.13 KB
SolverBenchmarks,'solve - enumerate all from fan-out DB (non-indexed)',ShortRun,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,1,Default,Default,Default,Default,Default,Default,16,3,?,50,37.24 μs,4.074 μs,0.223 μs,5.4932,0.2441,90.13 KB
SolverBenchmarks,'solve - enumerate all from fan-out DB (non-indexed)',NativeAOT,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,ILCompiler 10.0.5,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,200,138.94 μs,0.698 μs,0.583 μs,21.7285,3.4180,357.32 KB
SolverBenchmarks,'solve - enumerate all from fan-out DB (non-indexed)',ShortRun,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,1,Default,Default,Default,Default,Default,Default,16,3,?,200,139.78 μs,12.258 μs,0.672 μs,21.7285,3.4180,357.32 KB
